id,city,state,state_2,zip,created_at,updated_at,lat,long,tz_offset,dst
33681,Agana Heights,Guam,GU,96919,2014-06-09 17:11:51.205334,2014-06-09 17:11:51.205334,13.4656,144.7480,+10:00,f
33682,Barrigada,Guam,GU,96921,2014-06-09 17:14:26.633805,2014-06-09 17:14:26.633805,13.4691,144.799,+10:00,f
33683,Mangilao,Guam,GU,96923,2014-06-09 17:16:20.085842,2014-06-09 17:16:20.085842,13.44689,144.80144,+10:00,f
33684,Agat,Guam,GU,96928,2014-06-09 17:18:52.537391,2014-06-09 17:18:52.537391,13.38855,144.65852,+10:00,f
33685,Yigo,Guam,GU,96929,2014-06-09 17:20:50.300425,2014-06-09 17:20:50.300425,13.53605,144.88855,+10:00,f
33686,Barrigada,Guam,GU,96929,2014-06-09 17:21:14.653658,2014-06-09 17:21:14.653658,13.46912,144.79961,+10:00,f
33687,Dededo,Guam,GU,96929,2014-06-09 17:21:33.99486,2014-06-09 17:21:33.99486,13.51777,144.8391,+10:00,f
33672,Santa Rita,Guam,GU,96915,2014-06-09 16:51:17.275758,2014-06-09 16:51:17.275758,13.38608,144.67226,+10:00,f
33675,Piti,Guam,GU,96915,2014-06-09 16:58:44.314107,2014-06-09 16:58:44.314107,13.46256,144.69331,+10:00,f
212,Monson,Massachusetts,MA,01057,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.089269,-72.31700,-05:00,t
213,Florence,Massachusetts,MA,01060,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.324539,-72.63561,-05:00,t
215,Oakham,Massachusetts,MA,01068,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.349769,-72.04413,-05:00,t
216,Palmer,Massachusetts,MA,01069,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.176401,-72.32646,-05:00,t
217,Plainfield,Massachusetts,MA,01070,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.515853,-72.91661,-05:00,t
219,Shutesbury,Massachusetts,MA,01072,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.486027,-72.42208,-05:00,t
220,Southampton,Massachusetts,MA,01073,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.223885,-72.72777,-05:00,t
223,Three Rivers,Massachusetts,MA,01080,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.180563,-72.36518,-05:00,t
224,Wales,Massachusetts,MA,01081,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.058024,-72.22517,-05:00,t
225,Ware,Massachusetts,MA,01082,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.270611,-72.26067,-05:00,t
227,West Chesterfield,Massachusetts,MA,01084,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.379807,-72.89043,-05:00,t
228,Montgomery,Massachusetts,MA,01085,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.133642,-72.75029,-05:00,t
229,West Hatfield,Massachusetts,MA,01088,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.388831,-72.63210,-05:00,t
231,West Warren,Massachusetts,MA,01092,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.210777,-72.23904,-05:00,t
232,Wilbraham,Massachusetts,MA,01095,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.125310,-72.44057,-05:00,t
233,Williamsburg,Massachusetts,MA,01096,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.415236,-72.78271,-05:00,t
235,Springfield,Massachusetts,MA,01103,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.103294,-72.59112,-05:00,t
236,Springfield,Massachusetts,MA,01104,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.130343,-72.57338,-05:00,t
237,Springfield,Massachusetts,MA,01105,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.096644,-72.57980,-05:00,t
239,Springfield,Massachusetts,MA,01107,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.120193,-72.60610,-05:00,t
241,Springfield,Massachusetts,MA,01109,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.116277,-72.55031,-05:00,t
243,Springfield,Massachusetts,MA,01119,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.128442,-72.50932,-05:00,t
244,Springfield,Massachusetts,MA,01128,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.095344,-72.48857,-05:00,t
245,Springfield,Massachusetts,MA,01129,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.121031,-72.48960,-05:00,t
247,Pittsfield,Massachusetts,MA,01201,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.453840,-73.25400,-05:00,t
248,Adams,Massachusetts,MA,01220,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.619727,-73.11842,-05:00,t
249,Ashley Falls,Massachusetts,MA,01222,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.057496,-73.32177,-05:00,t
251,Cheshire,Massachusetts,MA,01225,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.551731,-73.16530,-05:00,t
252,Dalton,Massachusetts,MA,01226,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.476575,-73.11547,-05:00,t
